"Method","Bias","MAD","MSE","MAPE","RSFE","Tracking_Signal","Next_Forecast"
"Naive",2.55,8483.87,114739631.16,55.63,170.8,0.02,11022.8
"Moving Average",12.7,5663.15,45669751.04,35.54,813.07,0.14,17018.24
"Weighted MA",-47.81,4722.44,31118981.48,30.41,-3107.75,-0.66,17219.22
"Exp Smoothing",100.06,6650.64,63437554.08,43.13,6803.84,1.02,16742.42
"Trend-Adj ES",-90.56,7058.74,70645598.15,45.55,-6157.77,-0.87,17746.78
"Linear Trend",0,5887.45,50362743.25,38.93,0,0,15702.49
"Seasonal Indices",3.25,2298.78,8350499.61,15.96,220.91,0.1,10874.06
"Additive Decomp",12.7,1429.99,3432811.39,9.49,813.07,0.57,12170.37
"Mult Decomp",26.12,1437.97,3320683.95,9.89,1671.55,1.16,11960.17
"Regression",0,2275.49,8272705.16,15.84,0,0,10700.48
